
ARQUIVO RDAB MOVIMENTO        05/11/2014        16:31:31        - 1 -

       CPF FILIAL
---------- ------
       463      0
      2348      1
      2641      0
      3252      1
      4365      0
      5947      1
     10872      0
     11095      0
     11471      1
     11726      0
     13032      0
     13141      1
     16370      0
     17163      0
     17332      1
     18054      0
     18781      0
     19459      0
     19940      1
     20282      0
     21271      1
     21771      0
     21864      0
     22128      1
     23240      0
     24238      1
     25025      0
     26413      1
     26897      0
     26985      0
     27385      1
     27391      0
     28852      0
     29491      0
     29614      1
     30432      0
     31111      0
     31641      0
     32238      0
     32984      0
     34598      0
     35103      1
     35405      0
     35598      0
     35695      0
     37012      0
     37483      0
     38517      0
     38955      0
     39528      0
     39541      0
     39689      0
     40152      0
     43823      0

ARQUIVO RDAB MOVIMENTO        05/11/2014        16:31:31        - 2 -

       CPF FILIAL
---------- ------
     44328      0
     45125      0
     46060      0
     46990      0
     47131      0
     50006      0
     50671      0
     54251      0
     54409      0
     54539      0
     54583      0
     54636      0
     55791      0
     56389      0
     56836      1
     59923      1
     60333      0
     60743      0
     61303      0
     62311      0
     63939      0
     64804      1
     64849      1
     65200      0
     65397      0
     65628      0
     67424      0
     68083      0
     68585      0
     68625      0
     70066      0
     70178      0
     70408      0
     70589      0
     71335      0
     72484      0
     74061      0
     75847      1
     75905      0
     76147      0
     77224      0
     78420      1
     78624      0
     79062      0
     80572      0
     80622      0
     80935      1
     81047      0
     81381      0
     81577      0
     81701      0
     82000      0
     82358      0
     82657      0

ARQUIVO RDAB MOVIMENTO        05/11/2014        16:31:31        - 3 -

       CPF FILIAL
---------- ------
     84140      0
     84435      0
     84435      1
     84437      0
     85533      1
     85642      0
     86170      0
     86885      1
     87746      0
     88722      0
     90182      0
     90762      0
     91106      0
     91407      0
     93010      0
     94013      0
     94500      1
     94576      1
     94831      1
     96773      0
     98208      1
     98232      0
    100167      1
    100993      0
    100994      0
    101143      0
    101426      0
    104301      0
    106272      0
    109345      1
    109587      0
    109605      0
    109636      0
    109788      0
    110371      0
    113721      0
    114804      0
    115158      1
    116517      0
    118173      0
    118967      0
    119343      0
    119909      0
    120318      1
    121331      0
    121342      0
    123803      0
    124230      0
    124592      0
    124915      0
    125115      0
    125862      0
    126054      0
    126441      0

ARQUIVO RDAB MOVIMENTO        05/11/2014        16:31:31        - 4 -

       CPF FILIAL
---------- ------
    127348      1
    128306      0
    131053      0
    131651      0
    131748      0
    132928      0
    134580      1
    135081      0
    136725      0
    138542      0
    138957      1
    140776      0
    142108      0
    142603      1
    142606      0
    143025      1
    144348      1
    144468      0
    145216      0
    145245      1
