                         --- INICIO DO RELATORIO ---                                                     --- INICIO DO RELATORIO ---                                                     --- INICIO DO RELATORIO ---                            
                                                                                                                                                                                                                                                
 ** MX.CLLP.CADALPCL          **        06/10/14        09:33:06        - 1 -                                                                                                                                                                     
                                                                                                                                                                                                                                                
AGENCIA    CONTA      CARTEIRA   CONTRATO   TAXA-CONTRATO        VR-REMUNERATORIO         VALOR-MORATORIO             VALOR-MULTA      DESP-JUD-CUSTAS           HONORARIOS           VL-TOTAL-DIVIDA            VL-TAXA-TARIFA                 
--------   --------   --------   --------   -------------   ---------------------   ---------------------   ---------------------   ------------------   ------------------   -----------------------   -----------------------                 
       2      12408   DDD              74       12,000000                    4,25                    0,00                    1,66                 0,00                 0,00                     85,11                      0,00                 
       2      12408   DDD              75       12,000000                    4,25                    0,00                    1,66                 0,00                 0,00                     85,11                      0,00                 
       2      12408   DDD              76       12,000000                    4,25                    0,00                    1,66                 0,00                 0,00                     85,11                      0,00                 
       2      12408   DDD              76       12,000000                    4,25                    0,00                    1,66                 0,00                 0,00                     85,11                      0,00                 
       2      12408   DDD              77       12,000000                    4,25                    0,00                    1,66                 0,00                 0,00                     85,11                      0,00                 
       2      12408   DDD              77       12,000000                    4,25                    0,00                    1,66                 0,00                 0,00                     85,11                      0,00                 
       2      12408   DDD              77       12,000000                    4,25                    0,00                    1,66                 0,00                 0,00                     85,11                      0,00                 
       2      12408   DDD              79       12,000000                    4,25                    0,00                    1,66                 0,00                 0,00                     85,11                      0,00                 
       2      12408   DDD              81       12,000000                    4,25                    0,00                    1,66                 0,00                 0,00                     85,11                      0,00                 
       2      12408   DDD              90       12,000000                    4,25                    0,00                    1,66                 0,00                 0,00                     85,11                      0,00                 
       2      12408   DDD              96       12,000000                    4,25                    0,00                    1,66                 0,00                 0,00                     85,11                      0,00                 
       2      12408   DDD             110       12,000000                    4,25                    0,00                    1,66                 0,00                 0,00                     85,11                      0,00                 
       2      12408   DDD             113       12,000000                    4,25                    0,00                    1,66                 0,00                 0,00                     85,11                      0,00                 
       2      12408   DDD             117       12,000000                    4,25                    0,00                    1,66                 0,00                 0,00                     85,11                      0,00                 
       2      12408   197             110       12,000000                    4,25                    0,00                    1,66                 0,00                 0,00                     85,11                      0,00                 
       2      12408   197             114       12,000000                    4,25                    0,00                    1,66                 0,00                 0,00                     85,11                      0,00                 
       2      12408   197             118       12,000000                    4,25                    0,00                    1,66                 0,00                 0,00                     85,11                      0,00                 
       2      31423   DDD              31       12,000000                   10,96                    0,00                    4,30                 0,00                 0,00                    219,39                      0,00                 
       2      31423   DDD              32       12,000000                   10,96                    0,00                    4,30                 0,00                 0,00                    219,39                      0,00                 
       2      31423   DDD              34       12,000000                   10,96                    0,00                    4,30                 0,00                 0,00                    219,39                      0,00                 
       2      31423   DDD              34       12,000000                   10,96                    0,00                    4,30                 0,00                 0,00                    219,39                      0,00                 
       2      31423   DDD              35       12,000000                   10,96                    0,00                    4,30                 0,00                 0,00                    219,39                      0,00                 
       2      31423   DDD              35       12,000000                   10,96                    0,00                    4,30                 0,00                 0,00                    219,39                      0,00                 
       2      31423   DDD              35       12,000000                   10,96                    0,00                    4,30                 0,00                 0,00                    219,39                      0,00                 
       2      31423   DDD              35       12,000000                   10,96                    0,00                    4,30                 0,00                 0,00                    219,39                      0,00                 
       2      31423   DDD              35       12,000000                   10,96                    0,00                    4,30                 0,00                 0,00                    219,39                      0,00                 
       2      31423   DDD              36       12,000000                   10,96                    0,00                    4,30                 0,00                 0,00                    219,39                      0,00                 
       2      31423   DDD              36       12,000000                   10,96                    0,00                    4,30                 0,00                 0,00                    219,39                      0,00                 
       2      31423   DDD              37       12,000000                   10,96                    0,00                    4,30                 0,00                 0,00                    219,39                      0,00                 
       2      31423   DDD              38       12,000000                   10,96                    0,00                    4,30                 0,00                 0,00                    219,39                      0,00                 
       2      31423   532              33       12,000000                    3,06                    0,00                    1,20                 0,00                 0,00                     61,26                      0,00                 
       2      31423   532              34       12,000000                    3,06                    0,00                    1,20                 0,00                 0,00                     61,26                      0,00                 
       2      56066   110              86       12,000000                    6,07                    0,00                    2,38                 0,00                 0,00                    121,51                      0,00                 
       2      56066   110              90       12,000000                    5,83                    0,00                    2,28                 0,00                 0,00                    116,66                      0,00                 
       2      56066   110              93       12,000000                    6,07                    0,00                    2,38                 0,00                 0,00                    121,51                      0,00                 
       2      70705   502              96       12,000000                    4,92                    0,00                    1,93                 0,00                 0,00                     98,48                      0,00                 
       2      70705   502              96       12,000000                    4,92                    0,00                    1,93                 0,00                 0,00                     98,48                      0,00                 
       2      70705   502             103       12,000000                    4,92                    0,00                    1,93                 0,00                 0,00                     98,48                      0,00                 
       2      70705   502             104       12,000000                    4,92                    0,00                    1,93                 0,00                 0,00                     98,48                      0,00                 
       2      70705   502             105       12,000000                    4,92                    0,00                    1,93                 0,00                 0,00                     98,48                      0,00                 
       2      70705   502             105       12,000000                    4,92                    0,00                    1,93                 0,00                 0,00                     98,48                      0,00                 
       2      70705   502             105       12,000000                    4,92                    0,00                    1,93                 0,00                 0,00                     98,48                      0,00                 
       2      70705   502             110       12,000000                    4,92                    0,00                    1,93                 0,00                 0,00                     98,48                      0,00                 
       2      70705   502             110       12,000000                    4,92                    0,00                    1,93                 0,00                 0,00                     98,48                      0,00                 
       2      70705   502             110       12,000000                    4,92                    0,00                    1,93                 0,00                 0,00                     98,48                      0,00                 
       2      70705   502             192       12,000000                    4,92                    0,00                    1,93                 0,00                 0,00                     98,48                      0,00                 
       2      70705   532              88       12,000000                    4,92                    0,00                    1,93                 0,00                 0,00                     98,48                      0,00                 
       2      70705   532              89       12,000000                    4,92                    0,00                    1,93                 0,00                 0,00                     98,48                      0,00                 
       2      70705   532              91       12,000000                    4,92                    0,00                    1,93                 0,00                 0,00                     98,48                      0,00                 
       2      70705   532              94       12,000000                    4,92                    0,00                    1,93                 0,00                 0,00                     98,48                      0,00                 
       2      70705   532              99       12,000000                    4,92                    0,00                    1,93                 0,00                 0,00                     98,48                      0,00                 
       2      70705   532              99       12,000000                    4,92                    0,00                    1,93                 0,00                 0,00                     98,48                      0,00                 
       2      77473   DDD             114       12,000000                   16,41                    0,00                    6,43                 0,00                 0,00                    328,35                      0,00                 
       2      77473   DDD             118       12,000000                   16,41                    0,00                    6,43                 0,00                 0,00                    328,35                      0,00                 
                                                                                                                                                                                                                                                
 ** MX.CLLP.CADALPCL          **        06/10/14        09:33:06        - 2 -                                                                                                                                                                     
                                                                                                                                                                                                                                                
AGENCIA    CONTA      CARTEIRA   CONTRATO   TAXA-CONTRATO        VR-REMUNERATORIO         VALOR-MORATORIO             VALOR-MULTA      DESP-JUD-CUSTAS           HONORARIOS           VL-TOTAL-DIVIDA            VL-TAXA-TARIFA                 
--------   --------   --------   --------   -------------   ---------------------   ---------------------   ---------------------   ------------------   ------------------   -----------------------   -----------------------                 
       2      77473   DDD             121       12,000000                   16,41                    0,00                    6,43                 0,00                 0,00                    328,35                      0,00                 
       2      77473   DDD             122       12,000000                   16,41                    0,00                    6,43                 0,00                 0,00                    328,35                      0,00                 
       2      77473   DDD             128       12,000000                   16,41                    0,00                    6,43                 0,00                 0,00                    328,35                      0,00                 
       2      77473   DDD             132       12,000000                   16,41                    0,00                    6,43                 0,00                 0,00                    328,35                      0,00                 
       2      77473   DDD             142       12,000000                   16,41                    0,00                    6,43                 0,00                 0,00                    328,35                      0,00                 
       2      77473   DDD             158       12,000000                   16,41                    0,00                    6,43                 0,00                 0,00                    328,35                      0,00                 
       2      77473   DDD             160       12,000000                   16,41                    0,00                    6,43                 0,00                 0,00                    328,35                      0,00                 
       2      77473   DDD             167       12,000000                   16,41                    0,00                    6,43                 0,00                 0,00                    328,35                      0,00                 
       2      77679   DDD              45       12,000000                    4,80                    0,00                    1,88                 0,00                 0,00                     96,03                      0,00                 
       2      77679   DDD              56       12,000000                    4,80                    0,00                    1,88                 0,00                 0,00                     96,03                      0,00                 
       2      77679   DDD              56       12,000000                    4,80                    0,00                    1,88                 0,00                 0,00                     96,03                      0,00                 
       2      77679   DDD              63       12,000000                    4,80                    0,00                    1,88                 0,00                 0,00                     96,03                      0,00                 
       2      77679   DDD              63       12,000000                    4,80                    0,00                    1,88                 0,00                 0,00                     96,03                      0,00                 
       2      77679   DDD              63       12,000000                    4,80                    0,00                    1,88                 0,00                 0,00                     96,03                      0,00                 
       2      77679   DDD              63       12,000000                    4,80                    0,00                    1,88                 0,00                 0,00                     96,03                      0,00                 
       2      77679   DDD              63       12,000000                    4,80                    0,00                    1,88                 0,00                 0,00                     96,03                      0,00                 
       2      77679   DDD              81       12,000000                    4,80                    0,00                    1,88                 0,00                 0,00                     96,03                      0,00                 
       2      77679   DDD              82       12,000000                    4,80                    0,00                    1,88                 0,00                 0,00                     96,03                      0,00                 
       2      81076   605             132       12,000000                   16,64                    0,00                    6,52                 0,00                 0,00                    332,96                      0,00                 
       2      81098   502              84       12,000000                    3,68                    0,00                    1,44                 0,00                 0,00                     73,72                      0,00                 
       2      81098   502              90       12,000000                    3,68                    0,00                    1,44                 0,00                 0,00                     73,72                      0,00                 
       2      81098   502              92       12,000000                    3,68                    0,00                    1,44                 0,00                 0,00                     73,72                      0,00                 
       2      81098   502              95       12,000000                    3,68                    0,00                    1,44                 0,00                 0,00                     73,72                      0,00                 
       2      81098   502              99       12,000000                    3,68                    0,00                    1,44                 0,00                 0,00                     73,72                      0,00                 
       2      81098   502             101       12,000000                    3,68                    0,00                    1,44                 0,00                 0,00                     73,72                      0,00                 
       2      81098   532              85       12,000000                    3,68                    0,00                    1,44                 0,00                 0,00                     73,72                      0,00                 
       2      81098   532              90       12,000000                    3,68                    0,00                    1,44                 0,00                 0,00                     73,72                      0,00                 
       2      81227   CCC             133       12,000000                    3,52                    0,00                    1,38                 0,00                 0,00                     70,52                      0,00                 
       2      81227   532             134       12,000000                    1,98                    0,00                    0,77                 0,00                 0,00                     39,65                      0,00                 
       2      81227   605             135       12,000000                   32,94                    0,00                   12,92                 0,00                 0,00                    659,26                      0,00                 
       2      83111   DDD              84       12,000000                    4,56                    0,00                    1,79                 0,00                 0,00                     91,35                      0,00                 
       2      83111   DDD              85       12,000000                    4,56                    0,00                    1,79                 0,00                 0,00                     91,35                      0,00                 
       2      83111   DDD              88       12,000000                    4,56                    0,00                    1,79                 0,00                 0,00                     91,35                      0,00                 
       2      83111   DDD              88       12,000000                    4,56                    0,00                    1,79                 0,00                 0,00                     91,35                      0,00                 
       2      83111   DDD              89       12,000000                    4,56                    0,00                    1,79                 0,00                 0,00                     91,35                      0,00                 
       2      83111   DDD              91       12,000000                    4,56                    0,00                    1,79                 0,00                 0,00                     91,35                      0,00                 
       2      83111   DDD              93       12,000000                    4,56                    0,00                    1,79                 0,00                 0,00                     91,35                      0,00                 
       2      83111   DDD              94       12,000000                    4,56                    0,00                    1,79                 0,00                 0,00                     91,35                      0,00                 
       2      83111   DDD             102       12,000000                    4,56                    0,00                    1,79                 0,00                 0,00                     91,35                      0,00                 
       2      83111   DDD             107       12,000000                    4,56                    0,00                    1,79                 0,00                 0,00                     91,35                      0,00                 
       2      84515   DDD             126       12,000000                    6,19                    0,00                    2,43                 0,00                 0,00                    123,93                      0,00                 
       2      84515   DDD             132       12,000000                    6,19                    0,00                    2,43                 0,00                 0,00                    123,93                      0,00                 
       2      84515   DDD             137       12,000000                    6,19                    0,00                    2,43                 0,00                 0,00                    123,93                      0,00                 
       2      84515   197             123       12,000000                    6,19                    0,00                    2,43                 0,00                 0,00                    123,93                      0,00                 
       2      84515   197             129       12,000000                    6,19                    0,00                    2,43                 0,00                 0,00                    123,93                      0,00                 
       2      84515   197             133       12,000000                    6,19                    0,00                    2,43                 0,00                 0,00                    123,93                      0,00                 
       2      84515   197             144       12,000000                    6,19                    0,00                    2,43                 0,00                 0,00                    123,93                      0,00                 
       2      84515   197             145       12,000000                    6,19                    0,00                    2,43                 0,00                 0,00                    123,93                      0,00                 
       2      84515   197             145       12,000000                    6,19                    0,00                    2,43                 0,00                 0,00                    123,93                      0,00                 
       2      84515   197             151       12,000000                    6,19                    0,00                    2,43                 0,00                 0,00                    123,93                      0,00                 
       2      84515   197             156       12,000000                    6,19                    0,00                    2,43                 0,00                 0,00                    123,93                      0,00                 
       2      85554   CCC             377       12,000000                   32,34                    0,00                   12,69                 0,00                 0,00                    647,33                      0,00                 
       2      85554   532             334       12,000000                   10,22                    0,00                    4,01                 0,00                 0,00                    204,53                      0,00                 
       2      85554   532             378       12,000000                   15,29                    0,00                    5,99                 0,00                 0,00                    305,95                      0,00                 
                                                                                                                                                                                                                                                
 ** MX.CLLP.CADALPCL          **        06/10/14        09:33:06        - 3 -                                                                                                                                                                     
                                                                                                                                                                                                                                                
AGENCIA    CONTA      CARTEIRA   CONTRATO   TAXA-CONTRATO        VR-REMUNERATORIO         VALOR-MORATORIO             VALOR-MULTA      DESP-JUD-CUSTAS           HONORARIOS           VL-TOTAL-DIVIDA            VL-TAXA-TARIFA                 
--------   --------   --------   --------   -------------   ---------------------   ---------------------   ---------------------   ------------------   ------------------   -----------------------   -----------------------                 
       2      87023   DDD             451       12,000000                    4,75                    0,00                    1,86                 0,00                 0,00                     95,01                      0,00                 
       2      87023   DDD             458       12,000000                    4,75                    0,00                    1,86                 0,00                 0,00                     95,01                      0,00                 
       2      87023   DDD             459       12,000000                    4,75                    0,00                    1,86                 0,00                 0,00                     95,01                      0,00                 
       2      87199   DDD              91       12,000000                    9,56                    0,00                    3,75                 0,00                 0,00                    191,39                      0,00                 
       2      87199   DDD              93       12,000000                    9,56                    0,00                    3,75                 0,00                 0,00                    191,39                      0,00                 
       2      87199   DDD              95       12,000000                    9,56                    0,00                    3,75                 0,00                 0,00                    191,39                      0,00                 
       2      87199   DDD              96       12,000000                    9,56                    0,00                    3,75                 0,00                 0,00                    191,39                      0,00                 
       2      87199   DDD              96       12,000000                    9,56                    0,00                    3,75                 0,00                 0,00                    191,39                      0,00                 
       2      87199   DDD              96       12,000000                    9,56                    0,00                    3,75                 0,00                 0,00                    191,39                      0,00                 
       2      87199   DDD              97       12,000000                    9,56                    0,00                    3,75                 0,00                 0,00                    191,39                      0,00                 
       2      87199   DDD              98       12,000000                    9,56                    0,00                    3,75                 0,00                 0,00                    191,39                      0,00                 
       2      87199   DDD             100       12,000000                    9,56                    0,00                    3,75                 0,00                 0,00                    191,39                      0,00                 
       2      87199   DDD             102       12,000000                    9,56                    0,00                    3,75                 0,00                 0,00                    191,39                      0,00                 
       2      87199   DDD             103       12,000000                    9,56                    0,00                    3,75                 0,00                 0,00                    191,39                      0,00                 
       2      87199   DDD             111       12,000000                    9,56                    0,00                    3,75                 0,00                 0,00                    191,39                      0,00                 
       2      88342   DDD             147       12,000000                    3,35                    0,00                    1,31                 0,00                 0,00                     67,10                      0,00                 
       2      88342   DDD             149       12,000000                    6,32                    0,00                    2,48                 0,00                 0,00                    126,54                      0,00                 
       2      88342   DDD             153       12,000000                    3,35                    0,00                    1,31                 0,00                 0,00                     67,10                      0,00                 
       2      88342   DDD             155       12,000000                    3,35                    0,00                    1,31                 0,00                 0,00                     67,10                      0,00                 
       2      88342   DDD             155       12,000000                    3,35                    0,00                    1,31                 0,00                 0,00                     67,10                      0,00                 
       2      88342   DDD             161       12,000000                    3,35                    0,00                    1,31                 0,00                 0,00                     67,10                      0,00                 
       2      88342   DDD             165       12,000000                    3,35                    0,00                    1,31                 0,00                 0,00                     67,10                      0,00                 
       2      88342   197             171       12,000000                    3,35                    0,00                    1,31                 0,00                 0,00                     67,10                      0,00                 
       2      88342   197             178       12,000000                    3,35                    0,00                    1,31                 0,00                 0,00                     67,10                      0,00                 
       2      89030   DDD             124       12,000000                    8,03                    0,00                    3,15                 0,00                 0,00                    160,76                      0,00                 
       2      89030   DDD             126       12,000000                    8,03                    0,00                    3,15                 0,00                 0,00                    160,76                      0,00                 
       2      89030   DDD             130       12,000000                    8,03                    0,00                    3,15                 0,00                 0,00                    160,76                      0,00                 
       2      89030   DDD             131       12,000000                    8,03                    0,00                    3,15                 0,00                 0,00                    160,76                      0,00                 
       2      89030   DDD             142       12,000000                    8,03                    0,00                    3,15                 0,00                 0,00                    160,76                      0,00                 
       2      89030   DDD             148       12,000000                    8,03                    0,00                    3,15                 0,00                 0,00                    160,76                      0,00                 
       2      89030   DDD             149       12,000000                    8,03                    0,00                    3,15                 0,00                 0,00                    160,76                      0,00                 
       2      89030   DDD             156       12,000000                    8,03                    0,00                    3,15                 0,00                 0,00                    160,76                      0,00                 
       2      89030   DDD             163       12,000000                    8,03                    0,00                    3,15                 0,00                 0,00                    160,76                      0,00                 
       2      89030   DDD             164       12,000000                    8,03                    0,00                    3,15                 0,00                 0,00                    160,76                      0,00                 
       2      89030   DDD             166       12,000000                    8,03                    0,00                    3,15                 0,00                 0,00                    160,76                      0,00                 
       2      89030   DDD             171       12,000000                    8,03                    0,00                    3,15                 0,00                 0,00                    160,76                      0,00                 
       2      90322   DDD             460       12,000000                    3,21                    0,00                    1,25                 0,00                 0,00                     64,19                      0,00                 
       2      90322   DDD             468       12,000000                    3,21                    0,00                    1,25                 0,00                 0,00                     64,19                      0,00                 
       2      90322   DDD             482       12,000000                    3,21                    0,00                    1,25                 0,00                 0,00                     64,19                      0,00                 
       2      90322   DDD             483       12,000000                    2,54                    0,00                    0,99                 0,00                 0,00                     50,82                      0,00                 
       2      90322   DDD             492       12,000000                    3,21                    0,00                    1,25                 0,00                 0,00                     64,19                      0,00                 
       2      90322   DDD             504       12,000000                    3,21                    0,00                    1,25                 0,00                 0,00                     64,19                      0,00                 
       2      90322   197             454       12,000000                    2,22                    0,00                    1,12                 0,00                 0,00                     63,07                      0,00                 
       2      90322   197             471       12,000000                    2,22                    0,00                    1,12                 0,00                 0,00                     63,07                      0,00                 
       2      90322   197             471       12,000000                    2,22                    0,00                    1,12                 0,00                 0,00                     63,07                      0,00                 
       2      90322   197             496       12,000000                    3,21                    0,00                    1,25                 0,00                 0,00                     64,19                      0,00                 
       2      90322   197             503       12,000000                    3,21                    0,00                    1,25                 0,00                 0,00                     64,19                      0,00                 
       2      90322   197             510       12,000000                    3,21                    0,00                    1,25                 0,00                 0,00                     64,19                      0,00                 
       2      90794   502             117       12,000000                   18,91                    0,00                    7,42                 0,00                 0,00                    378,51                      0,00                 
       2      90794   502             118       12,000000                   18,91                    0,00                    7,42                 0,00                 0,00                    378,51                      0,00                 
       2      90794   502             118       12,000000                   18,91                    0,00                    7,42                 0,00                 0,00                    378,51                      0,00                 
       2      90794   502             121       12,000000                   18,91                    0,00                    7,42                 0,00                 0,00                    378,50                      0,00                 
       2      90794   502             122       12,000000                   18,91                    0,00                    7,42                 0,00                 0,00                    378,51                      0,00                 
       2      90794   502             125       12,000000                   18,91                    0,00                    7,42                 0,00                 0,00                    378,51                      0,00                 
                                                                                                                                                                                                                                                
 ** MX.CLLP.CADALPCL          **        06/10/14        09:33:06        - 4 -                                                                                                                                                                     
                                                                                                                                                                                                                                                
AGENCIA    CONTA      CARTEIRA   CONTRATO   TAXA-CONTRATO        VR-REMUNERATORIO         VALOR-MORATORIO             VALOR-MULTA      DESP-JUD-CUSTAS           HONORARIOS           VL-TOTAL-DIVIDA            VL-TAXA-TARIFA                 
--------   --------   --------   --------   -------------   ---------------------   ---------------------   ---------------------   ------------------   ------------------   -----------------------   -----------------------                 
       2      90794   502             128       12,000000                    8,99                    0,00                    3,52                 0,00                 0,00                    179,94                      0,00                 
       2      90794   502             128       12,000000                   18,91                    0,00                    7,42                 0,00                 0,00                    378,51                      0,00                 
       2      90794   502             135       12,000000                   18,91                    0,00                    7,42                 0,00                 0,00                    378,51                      0,00                 
       2      90794   532             109       12,000000                   18,91                    0,00                    7,42                 0,00                 0,00                    378,51                      0,00                 
       2      90794   532             109       12,000000                   18,91                    0,00                    7,42                 0,00                 0,00                    378,51                      0,00                 
       2      90794   532             110       12,000000                   18,91                    0,00                    7,42                 0,00                 0,00                    378,51                      0,00                 
       2      90794   532             113       12,000000                   18,91                    0,00                    7,42                 0,00                 0,00                    378,51                      0,00                 
       2      90794   532             113       12,000000                   18,91                    0,00                    7,42                 0,00                 0,00                    378,51                      0,00                 
