                         --- INICIO DO RELATORIO ---                                                     --- INICIO DO RELATORIO ---                            
                                                                                                                                                                
CONTAS A SEREM INATIVADAS        12/05/2014        11:01:29        - 1 -                                                                                        
                                                                                                                                                                
LOCATION CONTA CACS         CUSTOMER NAME                                 SOCIAL SEC           PHONE                     TOTAL-DELINQ             INTEREST      
-------- ------------------ --------------------------------------------- -------------------- ----------------- -------------------- --------------------      
010101   00001022024CPES001 INATIVAR CONTA                                000010220000024      00000000000000000                    0                    0      
010101   00001658328CPES011 INATIVAR CONTA                                000016583000028      00000000000000000                    0                    0      
010101   00010481206CPES001 INATIVAR CONTA                                000104812000006      00000000000000000                    0                    0      
010101   00028542010CPES011 INATIVAR CONTA                                000285420000010      00000000000000000                    0                    0      
010101   00036044202CPES002 INATIVAR CONTA                                000360442000002      00000000000000000                    0                    0      
010101   00040546012CDCV002 INATIVAR CONTA                                000405460000012      00000000000000000                    0                    0      
010101   00040546012CPES002 INATIVAR CONTA                                000405460000012      00000000000000000                    0                    0      
010101   00040806103CPES004 INATIVAR CONTA                                000408061000003      00000000000000000                    0                    0      
010101   00040828697CPES012 INATIVAR CONTA                                000408286000097      00000000000000000                    0                    0      
010101   00041650204CPES002 INATIVAR CONTA                                000416502000004      00000000000000000                    0                    0      
010101   00045805750RENG002 INATIVAR CONTA                                000458057000050      00000000000000000                    0                    0      
010101   00048966371CPES001 INATIVAR CONTA                                000489663000071      00000000000000000                    0                    0      
010101   00051105306CPES003 INATIVAR CONTA                                000511053000006      00000000000000000                    0                    0      
010101   00051932067DCCO001 INATIVAR CONTA                                999999999999999      00000000000000000                    0                    0      
010101   00056992157CPES006 INATIVAR CONTA                                000569921000057      00000000000000000                    0                    0      
010101   00056992157CPES007 INATIVAR CONTA                                000569921000057      00000000000000000                    0                    0      
010101   00060582219CPES002 INATIVAR CONTA                                000605822000019      00000000000000000                    0                    0      
010101   00067052606CPES001 INATIVAR CONTA                                000670526000006      00000000000000000                    0                    0      
010101   00074822306RENG001 INATIVAR CONTA                                000748223000006      00000000000000000                    0                    0      
010101   00076431606RENG002 INATIVAR CONTA                                000764316000006      00000000000000000                    0                    0      
010101   00077913302CPES001 INATIVAR CONTA                                000779133000002      00000000000000000                    0                    0      
010101   00081686102CPES001 INATIVAR CONTA                                000816861000002      00000000000000000                    0                    0      
010101   00082582440CPES004 INATIVAR CONTA                                000825824000040      00000000000000000                    0                    0      
010101   00082688192CPES001 INATIVAR CONTA                                000826881000092      00000000000000000                    0                    0      
010101   00082875383CPES001 INATIVAR CONTA                                000828753000083      00000000000000000                    0                    0      
010101   00085076511RENG001 INATIVAR CONTA                                000850765000011      00000000000000000                    0                    0      
010101   00086798510RENG001 INATIVAR CONTA                                000867985000010      00000000000000000                    0                    0      
010101   00086829335CPES001 INATIVAR CONTA                                000868293000035      00000000000000000                    0                    0      
010101   00086926101CPES003 INATIVAR CONTA                                000869261000001      00000000000000000                    0                    0      
010101   00088891127RENG002 INATIVAR CONTA                                000888911000027      00000000000000000                    0                    0      
010101   00089590643CPES001 INATIVAR CONTA                                000895906000043      00000000000000000                    0                    0      
010101   00094656690CPES005 INATIVAR CONTA                                000946566000090      00000000000000000                    0                    0      
010101   00104590300CPES001 INATIVAR CONTA                                001045903000000      00000000000000000                    0                    0      
010101   00107975130RENG005 INATIVAR CONTA                                001079751000030      00000000000000000                    0                    0      
010101   00111859379CPES001 INATIVAR CONTA                                001118593000079      00000000000000000                    0                    0      
010101   00113228619RENG001 INATIVAR CONTA                                001132286000019      00000000000000000                    0                    0      
010101   00118040766CPES001 INATIVAR CONTA                                001180407000066      00000000000000000                    0                    0      
010101   00120258285CPES011 INATIVAR CONTA                                001202582000085      00000000000000000                    0                    0      
010101   00122854551CPES006 INATIVAR CONTA                                001228545000051      00000000000000000                    0                    0      
010101   00128665122RENG001 INATIVAR CONTA                                001286651000022      00000000000000000                    0                    0      
010101   00129812145CPES003 INATIVAR CONTA                                001298121000045      00000000000000000                    0                    0      
010101   00129812145CPES004 INATIVAR CONTA                                001298121000045      00000000000000000                    0                    0      
010101   00148939678CPES001 INATIVAR CONTA                                001489396000078      00000000000000000                    0                    0      
010101   00151660077CPES028 INATIVAR CONTA                                001516600000077      00000000000000000                    0                    0      
010101   00160168589CPES001 INATIVAR CONTA                                001601685000089      00000000000000000                    0                    0      
010101   00166315281CPES058 INATIVAR CONTA                                001663152000081      00000000000000000                    0                    0      
010101   00166315281CPES059 INATIVAR CONTA                                001663152000081      00000000000000000                    0                    0      
010101   00166315281CPES060 INATIVAR CONTA                                001663152000081      00000000000000000                    0                    0      
010101   00166315281CPES061 INATIVAR CONTA                                001663152000081      00000000000000000                    0                    0      
010101   00169274608RENG002 INATIVAR CONTA                                001692746000008      00000000000000000                    0                    0      
010101   00169448010CPES001 INATIVAR CONTA                                001694480000010      00000000000000000                    0                    0      
010101   00174783086CDCV001 INATIVAR CONTA                                001747830000086      00000000000000000                    0                    0      
010101   00178178039CHEP001 INATIVAR CONTA                                001781780000039      00000000000000000                    0                    0      
010101   00182726576RENG001 INATIVAR CONTA                                001827265000076      00000000000000000                    0                    0      
                                                                                                                                                                
CONTAS A SEREM INATIVADAS        12/05/2014        11:01:29        - 2 -                                                                                        
                                                                                                                                                                
LOCATION CONTA CACS         CUSTOMER NAME                                 SOCIAL SEC           PHONE                     TOTAL-DELINQ             INTEREST      
-------- ------------------ --------------------------------------------- -------------------- ----------------- -------------------- --------------------      
010101   00190404078RENG003 INATIVAR CONTA                                001904040000078      00000000000000000                    0                    0      
010101   00190743360CPES005 INATIVAR CONTA                                999999999999999      00000000000000000                    0                    0      
010101   00195474120CPES001 INATIVAR CONTA                                001954741000020      00000000000000000                    0                    0      
010101   00200452398RENG002 INATIVAR CONTA                                002004523000098      00000000000000000                    0                    0      
010101   00202169391DCCO001 INATIVAR CONTA                                999999999999999      00000000000000000                    0                    0      
010101   00206031505CHEP001 INATIVAR CONTA                                999999999999999      00000000000000000                    0                    0      
010101   00218692510CPES009 INATIVAR CONTA                                002186925000010      00000000000000000                    0                    0      
010101   00219026823CPES009 INATIVAR CONTA                                002190268000023      00000000000000000                    0                    0      
010101   00219026823CPES011 INATIVAR CONTA                                002190268000023      00000000000000000                    0                    0      
010101   00220072531CHEP001 INATIVAR CONTA                                002200725000031      00000000000000000                    0                    0      
010101   00222596279CPES001 INATIVAR CONTA                                002225962000079      00000000000000000                    0                    0      
010101   00225763559DBAU001 INATIVAR CONTA                                002257635000059      00000000000000000                    0                    0      
010101   00229207812CPES001 INATIVAR CONTA                                002292078000012      00000000000000000                    0                    0      
010101   00235396311CPES002 INATIVAR CONTA                                002353963000011      00000000000000000                    0                    0      
010101   00248329367CPES031 INATIVAR CONTA                                002483293000067      00000000000000000                    0                    0      
010101   00251024512CPES001 INATIVAR CONTA                                002510245000012      00000000000000000                    0                    0      
010101   00252926250CPES004 INATIVAR CONTA                                002529262000050      00000000000000000                    0                    0      
010101   00262455315CPES002 INATIVAR CONTA                                999999999999999      00000000000000000                    0                    0      
010101   00264145119CPES006 INATIVAR CONTA                                002641451000019      00000000000000000                    0                    0      
010101   00268515204CPES002 INATIVAR CONTA                                002685152000004      00000000000000000                    0                    0      
