                         --- INICIO DO RELATORIO ---                                                     --- INICIO DO RELATORIO ---                            
                                                                                                                                                                
CONTAS A SEREM INATIVADAS        28/04/2014        15:24:23        - 1 -                                                                                        
                                                                                                                                                                
LOCATION CONTA CACS         CUSTOMER NAME                                 SOCIAL SEC           PHONE                     TOTAL-DELINQ             INTEREST      
-------- ------------------ --------------------------------------------- -------------------- ----------------- -------------------- --------------------      
010101   00003583120CPES001 INATIVAR CONTA                                000035831000020      00000000000000000                    0                    0      
010101   00008565686CPES003 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00009174273CPES012 INATIVAR CONTA                                000091742000073      00000000000000000                    0                    0      
010101   00009567089CPES001 INATIVAR CONTA                                000095670000089      00000000000000000                    0                    0      
010101   00009567089DBAU001 INATIVAR CONTA                                000095670000089      00000000000000000                    0                    0      
010101   00009602844CHEP001 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00021133174CDCV001 INATIVAR CONTA                                000211331000074      00000000000000000                    0                    0      
010101   00021133174CPES001 INATIVAR CONTA                                000211331000074      00000000000000000                    0                    0      
010101   00022973702DCHQ003 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00024155934CPMF001 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00024163872CPES001 INATIVAR CONTA                                000241638000072      00000000000000000                    0                    0      
010101   00026570408RENG003 INATIVAR CONTA                                000265704000008      00000000000000000                    0                    0      
010101   00032214073CDCV003 INATIVAR CONTA                                000322140000073      00000000000000000                    0                    0      
010101   00036020796CPES004 INATIVAR CONTA                                000360207000096      00000000000000000                    0                    0      
010101   00037440004DCCO001 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00040820874CHEP002 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00042013100CPES002 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00052806308CPES001 INATIVAR CONTA                                000528063000008      00000000000000000                    0                    0      
010101   00053681380CPES027 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00053681380CPES030 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00053975537CPES002 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00063097559CPES118 INATIVAR CONTA                                000630975000059      00000000000000000                    0                    0      
010101   00063470888CHEP001 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00063470888CPES001 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00070092249CPES018 INATIVAR CONTA                                000700922000049      00000000000000000                    0                    0      
010101   00075207001CDCV001 INATIVAR CONTA                                000752070000001      00000000000000000                    0                    0      
010101   00075253704RENG001 INATIVAR CONTA                                000752537000004      00000000000000000                    0                    0      
010101   00077357825CHEP001 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00077357825CHEP002 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00082247811CPES001 INATIVAR CONTA                                000822478000011      00000000000000000                    0                    0      
010101   00083784799DCCO001 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00085353701DCCO001 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00085463558CPES003 INATIVAR CONTA                                000854635000058      00000000000000000                    0                    0      
010101   00088292096CPES001 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00096551151CHEP001 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00099125170CPES001 INATIVAR CONTA                                000991251000070      00000000000000000                    0                    0      
010101   00100998593CPES002 INATIVAR CONTA                                001009985000093      00000000000000000                    0                    0      
010101   00101780583CPES013 INATIVAR CONTA                                001017805000083      00000000000000000                    0                    0      
010101   00104907606CHEP001 INATIVAR CONTA                                001049076000006      00000000000000000                    0                    0      
010101   00110211014RENG006 INATIVAR CONTA                                001102110000014      00000000000000000                    0                    0      
010101   00112096905CPMF001 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00112372287DBAU002 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00115997580CPES001 INATIVAR CONTA                                001159975000080      00000000000000000                    0                    0      
010101   00125299745CPES003 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00125506635CPES001 INATIVAR CONTA                                001255066000035      00000000000000000                    0                    0      
010101   00126851433DCCO001 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00133252132CDCM001 INATIVAR CONTA                                001332521000032      00000000000000000                    0                    0      
010101   00137109318CPES001 INATIVAR CONTA                                001371093000018      00000000000000000                    0                    0      
010101   00138145679CPES001 INATIVAR CONTA                                001381456000079      00000000000000000                    0                    0      
010101   00141946512CDCV001 INATIVAR CONTA                                001419465000012      00000000000000000                    0                    0      
010101   00144832542CPES004 INATIVAR CONTA                                001448325000042      00000000000000000                    0                    0      
010101   00146707397CPES004 INATIVAR CONTA                                001467073000097      00000000000000000                    0                    0      
010101   00148090796CARD002 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00148288120CHEP002 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
                                                                                                                                                                
CONTAS A SEREM INATIVADAS        28/04/2014        15:24:23        - 2 -                                                                                        
                                                                                                                                                                
LOCATION CONTA CACS         CUSTOMER NAME                                 SOCIAL SEC           PHONE                     TOTAL-DELINQ             INTEREST      
-------- ------------------ --------------------------------------------- -------------------- ----------------- -------------------- --------------------      
010101   00154523100CPES003 INATIVAR CONTA                                001545231000000      00000000000000000                    0                    0      
010101   00154805505CPES001 INATIVAR CONTA                                001548055000005      00000000000000000                    0                    0      
010101   00154952648RENG001 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00161247822CPES019 INATIVAR CONTA                                001612478000022      00000000000000000                    0                    0      
010101   00162599714DCCO001 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00165557400RENG001 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00166272299CPES005 INATIVAR CONTA                                001662722000099      00000000000000000                    0                    0      
010101   00172861314RENG001 INATIVAR CONTA                                001728613000014      00000000000000000                    0                    0      
010101   00181294125CDCM001 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00182626350CPES001 INATIVAR CONTA                                001826263000050      00000000000000000                    0                    0      
010101   00183003080CPES001 INATIVAR CONTA                                001830030000080      00000000000000000                    0                    0      
010101   00186435827CIMF001 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00187293554CPES008 INATIVAR CONTA                                001872935000054      00000000000000000                    0                    0      
010101   00187607400CHEP001 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00188312730CPES002 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00188312730CPES003 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00196964504RENG002 INATIVAR CONTA                                001969645000004      00000000000000000                    0                    0      
010101   00198646712CPES003 INATIVAR CONTA                                001986467000012      00000000000000000                    0                    0      
010101   00198900520CPMF008 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00198900520CPMF009 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00200310500CPES002 INATIVAR CONTA                                002003105000000      00000000000000000                    0                    0      
010101   00202824195RENG002 INATIVAR CONTA                                002028241000095      00000000000000000                    0                    0      
010101   00203432304CPMF001 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00205124305CPES005 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00214688500CPES021 INATIVAR CONTA                                002146885000000      00000000000000000                    0                    0      
010101   00216760895DCHQ005 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00216760895DCHQ006 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
010101   00216760895DCHQ007 INATIVAR CONTA                                000001202000051      00000000000000000                    0                    0      
